user_id,item_id,rate
999,531,5
999,221,5
999,655,3
999,475,5
999,158,1
999,72,3
999,410,5
999,711,5
999,466,5
999,349,4
999,152,5
998,829,4
998,231,2
998,616,3
998,308,5
998,265,5
998,600,4
998,716,4
998,343,4
998,753,4
998,113,2
998,836,3
998,467,3
998,658,5
998,916,4
998,848,5
998,402,3
998,231,3
998,190,4
998,143,4
998,316,4
998,971,5
998,445,5
998,492,5
998,741,5
998,576,4
998,98,4
998,722,4
998,868,4
998,7,4
998,254,5
998,177,4
998,487,3
998,582,4
998,122,4
998,114,4
998,484,4
998,951,5
998,576,3
998,702,5
997,796,5
997,482,5
997,275,4
997,301,4
997,275,5
997,563,2
997,199,3
997,534,4
997,398,5
997,656,4
997,225,5
997,225,5
997,113,4
997,812,2
997,336,4
997,445,5
997,2,3
997,850,5
997,574,4
996,598,3
996,644,4
996,205,4
996,911,5
996,316,5
996,561,3
996,422,5
996,596,4
996,870,4
996,729,4
996,397,4
996,24,4
996,175,4
996,916,5
996,630,4
996,461,4
996,934,5
996,971,5
996,206,5
996,248,3
996,542,5
996,590,5
996,827,3
996,835,3
996,390,2
996,648,4
996,688,4
996,601,4
996,240,3
996,255,4
996,924,5
996,14,4
996,855,4
996,946,3
996,636,5
996,549,2
996,49,5
996,680,4
996,948,3
996,314,5
996,19,4
996,437,4
996,482,5
996,703,5
995,268,5
995,989,3
995,817,4
995,553,2
995,989,2
995,516,5
995,630,2
995,293,2
995,202,3
995,870,3
995,819,3
995,286,5
995,215,4
995,7,4
995,516,4
995,186,5
995,800,5
995,516,4
995,275,3
995,557,5
995,3,5
994,336,3
994,666,4
994,179,5
994,676,5
994,940,3
994,116,5
994,36,4
994,994,4
994,629,4
994,239,3
994,645,5
994,18,4
994,62,3
994,841,4
994,385,5
994,160,4
994,60,3
994,834,4
994,857,5
994,676,5
993,607,3
993,955,5
993,723,5
993,371,4
993,406,4
993,505,4
993,370,4
993,432,4
993,126,5
993,516,3
993,382,4
993,210,3
993,492,4
993,23,3
993,36,4
993,593,4
993,964,3
993,208,4
993,276,3
992,306,4
992,490,3
992,185,3
992,710,4
992,674,4
992,263,4
992,947,4
992,112,5
992,260,4
992,661,2
992,403,2
992,873,1
992,603,4
992,878,3
992,417,3
992,914,3
992,107,4
992,35,4
992,641,4
992,826,2
992,269,3
992,169,4
992,855,3
992,385,4
992,649,4
992,612,2
992,539,3
992,540,3
991,905,3
991,879,4
991,441,3
991,98,4
991,254,2
991,381,5
991,571,4
991,716,5
991,55,3
991,277,2
990,34,2
990,645,5
990,80,4
990,662,5
990,519,4
990,8,5
990,9,5
990,780,4
990,498,2
990,855,2
990,203,5
990,206,5
990,170,5
990,274,4
989,560,3
989,964,4
989,215,4
989,466,4
989,171,4
989,231,5
989,500,4
989,395,3
989,666,4
989,673,5
989,675,4
989,376,3
989,737,4
989,714,2
989,721,5
989,127,3
989,306,5
989,476,4
989,581,5
989,139,5
989,501,4
989,922,5
989,913,5
989,531,5
989,704,4
989,399,4
989,7,3
989,41,4
989,683,5
989,645,3
989,884,5
989,128,5
988,611,4
988,34,4
988,822,3
988,867,4
988,799,4
988,513,4
988,245,3
988,514,3
988,477,5
988,46,4
988,97,5
988,135,4
988,684,5
987,933,2
987,130,3
987,232,4
987,447,3
987,739,5
987,774,3
987,220,4
987,127,3
987,607,4
987,829,4
987,23,1
987,162,4
987,441,3
987,590,5
987,646,2
987,528,4
987,7,4
987,896,4
987,202,2
987,60,3
986,873,4
986,970,3
986,171,3
986,539,2
986,652,2
986,636,3
986,265,5
986,62,2
986,569,1
985,739,5
985,432,4
985,631,4
985,47,3
985,121,2
985,209,3
985,947,4
985,817,3
985,144,3
985,894,3
985,3,3
985,24,4
985,830,4
985,918,3
985,911,4
985,395,3
985,441,4
985,202,3
985,872,5
985,554,3
985,342,3
985,674,4
985,503,2
985,330,5
985,414,3
985,162,3
985,970,4
985,75,4
985,941,4
985,682,2
985,590,4
985,308,3
985,79,3
985,40,4
985,926,3
985,104,3
985,688,4
985,873,5
985,434,4
985,703,5
985,456,3
985,607,3
985,485,4
985,616,5
985,488,3
985,268,4
985,542,2
985,112,3
985,884,4
985,892,4
985,535,4
985,645,2
985,151,2
985,873,4
985,880,4
985,47,4
985,983,3
984,64,5
984,423,5
984,39,5
984,94,4
984,251,5
984,392,4
983,919,1
983,57,4
983,245,5
983,223,4
983,632,3
983,978,5
983,886,4
983,26,5
983,778,5
983,533,2
983,967,4
983,429,4
982,548,2
982,733,5
982,310,4
982,567,4
982,431,1
982,216,4
982,52,3
982,525,3
981,832,1
981,109,3
981,915,3
981,622,4
981,744,2
981,849,5
981,17,4
981,849,5
981,713,3
980,7,3
980,160,5
980,63,5
980,107,4
980,169,4
980,710,5
980,931,4
980,575,4
980,799,5
979,265,5
979,2,4
979,919,4
979,505,4
979,105,3
979,927,4
979,716,4
979,984,4
979,250,3
979,547,3
979,12,4
979,306,4
978,850,4
978,382,4
978,783,4
978,777,5
978,849,5
978,357,5
978,126,4
978,151,3
978,940,5
978,407,4
978,503,4
978,636,3
978,849,5
978,763,3
978,382,4
978,703,5
978,230,4
978,830,4
978,448,5
978,305,3
978,948,5
978,719,5
978,948,5
978,378,3
978,125,4
978,716,4
978,753,4
978,595,3
977,138,3
977,429,4
977,512,4
977,724,4
977,681,3
977,216,4
977,489,5
977,216,4
977,606,5
977,107,4
977,684,4
977,181,4
977,618,5
977,398,4
977,447,3
977,423,5
977,733,4
977,169,4
976,1,3
976,708,2
976,406,5
976,753,4
976,448,4
976,899,4
976,469,5
976,202,4
976,50,3
976,401,5
976,154,4
976,107,4
976,359,4
976,5,4
976,588,4
976,406,5
976,466,3
976,987,4
975,477,4
975,293,4
975,410,4
975,218,4
975,650,5
975,427,3
975,453,4
975,899,4
975,230,2
975,765,4
975,284,4
975,950,4
975,666,4
975,271,4
975,61,3
975,522,5
975,265,4
975,416,1
975,406,4
974,494,5
974,203,5
974,274,3
974,706,3
974,641,5
974,898,5
974,245,5
974,466,4
974,952,4
974,432,4
974,506,4
974,531,4
974,781,4
974,649,4
974,994,5
973,588,1
973,827,4
973,716,4
973,948,5
973,382,3
973,303,4
973,220,5
973,386,1
973,563,4
973,824,4
972,31,4
972,330,3
972,81,2
972,297,5
972,293,2
972,405,1
972,271,1
972,353,5
972,571,5
